Line;Rain;Temperature;RH ;DewPoint;WindSpeed;GustSpeed;WindDirection;#;PLANTA;FRUTO;INCIDENCIA;SEVERIDAD(%)
2977;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;42;PL005;2;0;0
2978;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;43;PL005;3;0;0
2979;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;44;PL005;4;0;0
2980;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;45;PL005;5;1;80
2981;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;46;PL005;6;0;0
2982;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;47;PL005;7;0;0
2983;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;48;PL005;8;0;0
2984;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;49;PL005;9;0;0
2985;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;50;PL005;10;0;0
2986;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;51;PL006;1;0;0
2987;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;52;PL006;2;0;0
2988;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;53;PL006;3;0;0
2989;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;54;PL006;4;0;0
2990;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;55;PL006;5;0;0
2991;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;56;PL006;6;0;0
2992;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;57;PL006;7;0;0
2993;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;58;PL006;8;0;0
2994;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;59;PL006;9;0;0
2995;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;60;PL006;10;0;0
2996;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;61;PL007;1;0;0
2997;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;62;PL007;2;0;0
2998;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;63;PL007;3;0;0
2999;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;64;PL007;4;0;0
3000;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;65;PL007;5;0;0
3001;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;66;PL007;6;0;0
3002;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;67;PL007;7;0;0
3003;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;68;PL007;8;0;0
